Ranking ,Team ,Win% ,GF/PG ,GA/PG,PP%
1,Tampa Bay Lightning,75.61,3.89,2.7,28.2
2,Calgary Flames,60.98,3.52,2.72,19.3
3,Boston Bruins,59.76,3.13,2.59,25.9
4,New York Islanders,58.54,2.72,2.33,14.5
5,Washington Capitals,58.54,3.34,3.02,20.8
6,Nashville Predators,57.31,2.88,2.59,12.9
7,Columbus Blue Jackets,57.31,3.12,2.82,15.4
8,Winnipeg Jets,57.31,3.29,2.96,24.8
9,Toronto Maple Leafs,56.1,3.49,3.04,21.8
10,Carolina Hurricanes ,56.1,2.96,2.7,17.8
11,San Jose Sharks,56.1,3.52,3.15,23.7
12,St. Louis Blues,54.88,2.98,2.68,21.1
13,Pittsburgh Penguins,53.66,3.3,2.9,24.6
14,Montreal Canadiens,53.66,3,2.88,13.3
15,Dallas Stars,52.44,2.55,2.44,21
16,Las Vegas Golden Knights ,52.44,3,2.78,16.8
17,Arizona Coyotes,47.56,2.55,2.68,16.3
18,Colorado Avalanche,46.34,3.15,2.98,22
19,Philadelphia Flyers,45.12,2.94,3.41,17.1
20,Minnesota Wild,45.12,2.56,2.84,20.3
21,Florida Panthers,43.9,3.22,3.33,26.8
22,Chicago Blackhawks,43.9,3.26,3.55,20.2
23,Edmonton Oilers,42.68,2.79,3.3,21.2
24,Vancouver Canucks,42.68,2.67,3.02,17.1
25,Anaheim Ducks,42.68,2.39,3.02,17
26,Buffalo Sabres,40.24,2.7,3.27,19.5
27,New York Rangers,39.02,2.7,3.26,19.4
28,Detroit Red Wings,39.02,2.73,3.32,18.1
29,New Jersey Devils,37.8,2.67,3.3,17.7
30,Los Angeles Kings,37.8,2.43,3.6,15.8
31,Ottawa Senators,35.37,2.95,3.67,20.4
